source_root,source_relative_path,destination_relative_path,category,source_sha256,destination_sha256,migration_wave,migration_commit,decision,evidence,notes
feature/reports-initiative@43dffaf,core_engine/api/request_validation.py,core_engine/api/request_validation.py,API_VALIDATION_MODULE,507D65C8C1851B065F16F6EE2354DA3096B1C480232E7B0F6D858648CA1451BB,507D65C8C1851B065F16F6EE2354DA3096B1C480232E7B0F6D858648CA1451BB,2,,PREABSORBED_NO_ACTION,wave2_policy_preflight_report,"Byte-identical in Unified — DRY fix (sorted(SUPPORTED_ASSET_TYPES) delegation) already present via independent route. Legacy hardcoded ['residential','commercial','industrial']; Unified has 5-type registry. INDUSTRIAL_POLICY=KEEP. No cherry-pick."
feature/reports-initiative@43dffaf,core_engine/tests/fixtures/baseline_land_legacy.json,core_engine/tests/fixtures/baseline_land_legacy.json,TEST_FIXTURE_GOLDEN_SNAPSHOT,B986E51A79CE2702E9C34C17DEBDC510591631E609B4C5563A800869844741C3,B986E51A79CE2702E9C34C17DEBDC510591631E609B4C5563A800869844741C3,2,,PREABSORBED_NO_ACTION,wave2_policy_preflight_report,"Byte-identical in Unified. SYNTHETIC_SAFE_FIXTURE — Test Client / frozen date 2026-01-01 / synthetic Cairo comparables. BL08 golden snapshot (land + legacy style). Git blob match confirmed."
feature/reports-initiative@43dffaf,core_engine/tests/fixtures/baseline_land_detailed.json,core_engine/tests/fixtures/baseline_land_detailed.json,TEST_FIXTURE_GOLDEN_SNAPSHOT,AD3DA79657165C41C4EADF7F529EFF9F3219BF9160D0F4163529EAB9B866C1CA,AD3DA79657165C41C4EADF7F529EFF9F3219BF9160D0F4163529EAB9B866C1CA,2,,PREABSORBED_NO_ACTION,wave2_policy_preflight_report,"Byte-identical in Unified. SYNTHETIC_SAFE_FIXTURE. BL09 golden snapshot (land + detailed style). Git blob match confirmed."
feature/reports-initiative@43dffaf,core_engine/tests/fixtures/report_land.json,core_engine/tests/fixtures/report_land.json,TEST_FIXTURE_INPUT,EF2E7B7FC62939269DEA70F286F190C08656F5589D06395E0764713DD5748ECA,EF2E7B7FC62939269DEA70F286F190C08656F5589D06395E0764713DD5748ECA,2,,PREABSORBED_NO_ACTION,wave2_policy_preflight_report,"Byte-identical in Unified. SYNTHETIC_SAFE_FIXTURE — Test Client / Test Appraiser / Cairo New Cairo (generic area) / no real data / no credentials / no absolute paths. Git blob match confirmed."
feature/reports-initiative@43dffaf,core_engine/tests/test_report_baseline.py,core_engine/tests/test_report_baseline.py,TEST_MODULE,120557FAB3A06BED9442693E0963B849582F4A345BFAA03CA9B516C10C77E8F3,02DA31D6DEA705F900D1177E39FE6EBFB1B1A50BCB1B53C73691DFB5EC01FC5D,2,,PREABSORBED_WITH_IMPROVEMENT,wave2_policy_preflight_report,"Unified is superset of 43dffaf — BL08/BL09 tests are present; Unified adds +4 lines governance fix (try/finally CWD-restore pattern). Legacy blob fe202646; Unified blob 5756220. BL01-BL09 9/9 passed."
canonical_source,core_engine/tests/test_request_validation_property_types.py,core_engine/tests/test_request_validation_property_types.py,TEST_MODULE,N/A_NEW_TEST_FILE,7DF246A9623A1709356AEDF74EBB5D7BB055CFD50D5741369B76FE094A5459AA,2,,CREATED,wave2_verification_closure,"Wave 2 property-type contract tests PT01-PT09. Covers: registry delegation / land accepted / industrial accepted (KEEP gate) / hotel accepted / residential+commercial accepted (parametrized) / unknown rejected / missing rejected / case-sensitivity documented / no-industrial-retirement guard. 10/10 passed. No Production code modified."
legacy_primary,core_engine/standards_compliance_visual_qa_generator.py,core_engine/standards_compliance_visual_qa_generator.py,COMPUTATION_MODULE_VISUAL_QA,33532171EEA4A2D3CD41DA9B97161247D3032C419EE8819CF35577CC9A35F4C1,D20A591828A3B479D00B7BB4F636CABFD5D10D3D052515AC72B9CCD787AF6299,3A,,MIGRATED_AS_HARDENED_CLI_DEVELOPER_TOOL,wave3a_preflight_report,"OPTION_D DEVELOPER_TOOL_PRESERVATION. Governance fixes: (1) caller-supplied output_root — no fixed project-tree path; (2) per-run isolation <output_root>/<case_id>/<run_id>/; (3) _sanitize_component + relative_to() containment; (4) overwrite policy; (5) synthetic valuer identity; (6) _esc() HTML escaping on all insertion sites; (7) browser try/finally lifecycle; (8) partial-failure cleanup; (9) argparse CLI. RUNTIME_STATUS=CLI_ONLY_UNWIRED. ENDPOINT_STATUS=BLOCKED_NOT_MIGRATED. ROUTE_ACTIVATION=NONE. BRIDGE_API_CHANGE=NONE."
canonical_source,core_engine/tests/test_standards_compliance_visual_qa_generator_unit.py,core_engine/tests/test_standards_compliance_visual_qa_generator_unit.py,TEST_MODULE,N/A_NEW_TEST_FILE,A49CB0F9635588F894FDED6E983C1044AB3399854FB141BBE6FA77A1109E528A,3A/3B,,MODIFIED_VT23_SENTINEL_TRANSITION,wave3b_corrections,"Wave 3A CI-safe unit tests VT01-VT24 (now VT01-VT28). VT23 SENTINEL TRANSITION: endpoint-absence sentinel replaced by import-safety sentinel under authorization A6_WAVE_3B_IMPLEMENTATION_APPROVED_PRECOMMIT_ONLY. VT23_TRANSITION=ENDPOINT_ABSENCE_SENTINEL_REPLACED_BY_IMPORT_SAFETY_SENTINEL. VT23_CHANGE_REASON=AUTHORIZED_WAVE3B_ENDPOINT_CREATION. Only VT23 changed — VT01-VT22 and VT24-VT28 unchanged. 28/28 passed. No real browser. No persistent project artifacts."
legacy_primary,core_engine/pv_standards_compliance_endpoint.py,core_engine/pv_standards_compliance_endpoint.py,ENDPOINT_MODULE,4EB14FA5BDA15D498C9D203B20208B641DCD40601964BB999F02F9A54668EAFB,9C550BD75281434AB302CF4089381FECE5B8594BCDEC5BF215688F3C8883AC82,3B,,MIGRATED_AS_HARDENED_ENDPOINT,wave3b_corrections,"Wave 3B redesigned endpoint. POST_SUCCESS_STATUS=200 (synchronous completion; corrected from draft 201). Governance fixes: (1) BoundedSemaphore(1) serializes POST+DELETE; (2) server-controlled run_id (UUID4 hex); (3) server-controlled output_root; (4) root chain validation with reparse-point detection; (5) identity fingerprinting (st_dev+st_ino); (6) lexical path comparison on generator run_directory; (7) TOCTOU mitigation (lstat→open→fstat); (8) atomic metadata write (tmp→fsync→os.replace); (9) _safe_delete_run_dir — recursive scan, unknown-structure refusal, reparse-point refusal; (10) retention: pre-generation reduce to 9, gate >9; post-generation reduce to 10; (11) orphan cleanup 24h; (12) error sanitization; (13) 4 Admin-only routes; (14) Blueprint collision check; (15) idempotent registration. BRIDGE_API_CHANGE=NONE. WIRING=STUB_PRESENT_IN_BRIDGE_API_LINES_12701-12705."
canonical_source,core_engine/tests/test_pv_standards_compliance_endpoint.py,core_engine/tests/test_pv_standards_compliance_endpoint.py,TEST_MODULE,N/A_NEW_TEST_FILE,1D758BC75599612C401FDE863FAF97ABE60A364C8FACE2CC011C43D6746047F3,3B,,CREATED,wave3b_corrections,"Wave 3B CI-safe unit tests SE01-SE84. POST_SUCCESS_STATUS=200 enforced: SE31/SE32 updated from not-in(400/413/415) to ==200; SE41 captures response and asserts ==200. SE73 strengthened: full normalized (route,method) set equality check against 4-route contract (was prefix-only check). Artifact route parameter confirmed <artifact_key> (not <key>). Covers: import isolation / module-level constants / registration idempotency / Blueprint collision / route table (4 endpoints) / Admin-only authorization / request body parsing (oversized/bad-ct/invalid-json/array/string/unknown-field) / server-controlled IDs / generator path validation (Path/relative rejection) / metadata schema validation / root chain revalidation / identity fingerprinting / reparse-point detection / safe file opening / safe deletion / retention / orphan cleanup / semaphore lifecycle / error sanitization / call_on_close lifecycle. 84/84 passed. No real browser. No persistent project artifacts."
legacy_primary,core_engine/tests/test_pv_standards_compliance_deep_visual_qa.py,N/A,TEST_MODULE,B5D0DCD3A9B077D1B1BA98365F99FE351092A77C8CC4E68F370B2AE3C85218F1,N/A,3A,,NOT_CI_SAFE_NOT_MIGRATED,wave3a_contract_decision,"40 tests SC-D01 to SC-D40. SC-D21 to SC-D40 require pre-existing artifacts generated by Playwright. Cannot be added to CI baseline without restructuring. Deferred to Wave 3B — superseded by SE01-SE84 CI-safe coverage."
canonical_source,core_engine/pv_standards_compliance_v2_endpoint.py,core_engine/pv_standards_compliance_v2_endpoint.py,ENDPOINT_MODULE,A6245B6EB7FFFFEBF720A4A94E739F118D39C67EB434ACFD32E7243FE9BE6046,37C6A1EEBCAF201509950B4DE0A5883EBB3C8BAB0227153A378FE7C4978C2DD0,4A,,HARDENED_REWRITE,wave4a_standards_compliance_v2_security,"Wave 4A complete rewrite. POLICY_A: all 4 routes Admin-only. RUN_SCOPED_GENERIC_ARTIFACT model. BoundedSemaphore(1) shared across POST+DELETE. UUID4.hex server-generated run_id. Absolute configured root (CWD-independent). Per-run isolation (case_path/run_id/). lstat/open/fstat validated handles for artifacts and metadata. BOUNDED_RAW_BYTES: request.stream.read(257). 8-key artifact allowlist. 7-key governance schema (synthetic_data=True added). Atomic registration (raise before register_blueprint). lstat postcondition for DELETE. _DelResult Enum (6 values). SAFE_SCAN_CORRECTION_2026-08-03: _safe_delete_run_dir replaced generic os.walk depth+count scan with Generator-derived structural allowlist (_ROOT_ALLOWED_FILES _ROOT_ALLOWED_DIRS _ARTIFACTS_ALLOWED _AUDITS_ALLOWED _SS_CATEGORIES_ALLOWED _SS_PNG_PATTERNS) using os.scandir at each level; refuses any path not derivable from Generator. RETENTION_CORRECTION_2026-08-03: skip-refused algorithm (attempted_ids set) replaces break-on-first-refused; tries all candidates before 507. ROLLBACK_CORRECTION_2026-08-03: generator-failure and metadata-write-failure rollbacks now use _safe_delete_run_dir (single implementation). SCREENSHOT_BOUNDS_CORRECTION_2026-08-03: _SS_PNG_PATTERNS tightened from generic \\d{2} to exact Generator-derived bounds: section_(0[1-9]|1[0-5]) for HTML (Generator sections[:15]+full=max 16 per category); page_(0[1-9]|[1-9]\\d) for PDF (Generator i+1:02d format valid range 01-99). OUTPUT_BOUND_CORRECTION_2026-08-03: PDF regex tightened from (0[1-9]|[1-9]\\d) to (0[1-9]|[1-6][0-9]|7[0-6]) matching Generator _PDF_SCREENSHOT_CAP=76; ensures VALID_OUTPUT_CAN_EXCEED_DELETE_LIMIT=False. Retention: 24h TTL 9 pre-gen target max 10. CSP header for HTML artifacts. Module-level constants exposed for tests. 217/217 V2 tests pass. RBG_PASS. SCREENSHOT_ALLOWLIST_SOURCE=EXECUTABLE_GENERATOR_CONTRACT ARBITRARY_SCREENSHOT_COUNT_ALLOWED=False VALID_OUTPUT_CAN_EXCEED_DELETE_LIMIT=False. CANONICAL_HASH_SOURCE=GIT_COMMITTED_BLOB_BYTES (LF file; blob SHA-256=working-tree SHA-256)."
canonical_source,core_engine/standards_compliance_v2_generator.py,core_engine/standards_compliance_v2_generator.py,GENERATOR_MODULE,2F6C05A1C716E548432E5CD235D30D37D47F3F8E828FB9C8AD6656D6FBDB1143,05809DAA4B71C7592719E46AF7FA065F7716DA191731DFF783B1711800033395,4A,,MODIFIED_COMPATIBLE,wave4a_standards_compliance_v2_security,"Wave 4A targeted edits. (1) Added module-level constant synthetic_data=True. (2) Changed run_standards_compliance_v2_visual_qa() signature to keyword-only (* sentinel): output_root run_id case_id=CASE_ID overwrite=False. Per-run directory isolation: run_dir=Path(output_root)/run_id. overwrite=False guard (FileExistsError). governance_obj updated to include synthetic_data. generated_at uses UTC (datetime.timezone.utc). Path-bearing fields removed from return dict. __main__ block uses tempfile.TemporaryDirectory()+uuid4.hex. 28/28 SC2 generator tests retained. OUTPUT_BOUND_CORRECTION_2026-08-03: Added _PDF_SCREENSHOT_CAP=76 constant; _pdf_screenshots() breaks at i>=76 (first 76 pages only); audit JSON records screenshots_captured screenshots_truncated pdf_screenshot_cap per PDF. GENERATOR_CAN_CREATE_SCANNER_REJECTED_SCREENSHOT=False VALID_OUTPUT_CAN_EXCEED_DELETE_LIMIT=False. RBG run_id=738e3f66ebec4a71a15cde7d934739ff user_pdf_pages=7 admin_pdf_pages=13 screenshots_truncated=false. CANONICAL_HASH_SOURCE=GIT_COMMITTED_BLOB_BYTES CANONICAL_BLOB_SHA256=05809DAA4B71C7592719E46AF7FA065F7716DA191731DFF783B1711800033395 CRLF_WORKING_TREE_SHA256=E87037080E2BBD66C26A997B847EDB24015A02AA240D9762C5753A4D7FABBDC2 core.autocrlf=true converted CRLF to LF on staging. GENERATOR_NORMALIZED_BYTES_MATCH=True WORKING_TREE_LINE_ENDING_HASH=SUPPLEMENTAL_ONLY."
canonical_source,core_engine/tests/test_pv_standards_compliance_v2.py,core_engine/tests/test_pv_standards_compliance_v2.py,TEST_MODULE,7D21966D2261D3F141807D41783DC964319B6410E0C86B3BCED77B7A80645ACA,725BA7B34749ECDE3A61EF33765CC6C1824ECA559DAC2509A1E6E90C9A7AACC9,4A,,EXPANDED_TEST_FILE,wave4a_standards_compliance_v2_security,"Wave 4A OUTPUT_BOUND_CORRECTION: Total 217 tests (unchanged count). Retained SC2-01..SC2-28 SV01..SV153 RET-BOUND-1..4 RET-SKIP-1. DEL-BOUND-1..4 (200-entry = 16 base+16+16+76+76 all within cap; 201-entry = admin_pdf page_77 refused by regex cap). UNKNOWN-1..7. SS-BOUND-1..12: per-category — section_15 accepted section_16 refused section_00 refused (HTML); page_76 accepted page_77 refused page_00 refused (PDF cap=76). PARTIAL-1..8: all safely DELETED. _make_gen_run_shape and _make_partial_run helpers. 217/217 passed. SCREENSHOT_ALLOWLIST_SOURCE=EXECUTABLE_GENERATOR_CONTRACT ARBITRARY_SCREENSHOT_COUNT_ALLOWED=False PARTIAL_APPROVED_RUNS_DELETABLE=True VALID_OUTPUT_CAN_EXCEED_DELETE_LIMIT=False MAXIMUM_COMPLETE_GENERATOR_SHAPE_DELETABLE=True GENERATOR_CAN_CREATE_SCANNER_REJECTED_SCREENSHOT=False SCANNER_ACCEPTS_GENERATOR_IMPOSSIBLE_SCREENSHOT=False. CANONICAL_HASH_SOURCE=GIT_COMMITTED_BLOB_BYTES (LF file; blob SHA-256=working-tree SHA-256)."
